"tissue1_ID","tissue1_name","tissue1_nCDR3","tissue2_ID","tissue2_name","tissue2_nCDR3","edge_weight"
36,"Cells - Transformed fibroblasts",9,33,"Whole Blood",898,0.00148213801300001
36,"Cells - Transformed fibroblasts",9,15,"Liver",365,0.00236176866600002
36,"Cells - Transformed fibroblasts",9,16,"Lung",1016,0.00170357751299999
37,"Brain - Amygdala",12,33,"Whole Blood",898,0.00244355317900002
37,"Brain - Amygdala",12,16,"Lung",1016,0.00336640211600003
38,"Brain - Anterior cingulate cortex (BA24)",7,33,"Whole Blood",898,0.00182475092199996
38,"Brain - Anterior cingulate cortex (BA24)",7,16,"Lung",1016,0.00215285252999997
39,"Brain - Caudate (basal ganglia)",10,16,"Lung",1016,0.00325356179400005
39,"Brain - Caudate (basal ganglia)",10,33,"Whole Blood",898,0.00262467191600002
40,"Brain - Cerebellum",8,33,"Whole Blood",898,0.00263504611300003
40,"Brain - Cerebellum",8,16,"Lung",1016,0.00151656265400002
41,"Brain - Cortex",10,33,"Whole Blood",898,0.00186915887899997
41,"Brain - Cortex",10,16,"Lung",1016,0.00152531726600003
42,"Brain - Frontal Cortex (BA9)",7,33,"Whole Blood",898,0.00228767514999995
42,"Brain - Frontal Cortex (BA9)",7,16,"Lung",1016,0.00211640211599995
43,"Brain - Hippocampus",9,16,"Lung",1016,0.00211714890600001
43,"Brain - Hippocampus",9,33,"Whole Blood",898,0.00381589425100004
44,"Brain - Nucleus accumbens (basal ganglia)",9,33,"Whole Blood",898,0.00165920408099995
44,"Brain - Nucleus accumbens (basal ganglia)",9,16,"Lung",1016,0.00219634440200001
45,"Brain - Putamen (basal ganglia)",8,33,"Whole Blood",898,0.00260990880699996
45,"Brain - Putamen (basal ganglia)",8,16,"Lung",1016,0.00168539325799999
46,"Brain - Spinal cord (cervical c-1)",15,33,"Whole Blood",898,0.00229260905499995
46,"Brain - Spinal cord (cervical c-1)",15,16,"Lung",1016,0.00132993479099996
47,"Brain - Substantia nigra",11,16,"Lung",1016,0.00289435600599997
47,"Brain - Substantia nigra",11,33,"Whole Blood",898,0.00298953662199997
48,"Brain - Cerebellar Hemisphere",5,33,"Whole Blood",898,0.00171722953599995
49,"Brain - Hypothalamus",10,33,"Whole Blood",898,0.00164580854899998
