,Tissue Type,nCDR3_IGH,nReads_IGH
4852,Lung,257,28.026449643899998
4879,Lung,480,26.4685946679
4899,Lung,539,61.8101879927
4905,Lung,119,6.902408894380001
4906,Lung,1128,110.140610105
4961,Lung,2172,154.59780297700001
4979,Lung,129,7.937484617280001
5019,Lung,1081,101.62629757799999
5044,Lung,810,54.8524262131
5048,Lung,541,20.595412396300002
5080,Lung,262,30.7307525011
5105,Lung,613,34.9664164362
5110,Lung,893,91.2678207739
5154,Lung,236,17.5905477032
5160,Lung,1054,88.760757315
5191,Lung,508,38.9004149378
5216,Lung,76,4.94505494505
5247,Lung,148,30.6177260519
5360,Lung,827,97.130620985
5372,Lung,0,0.0
5440,Lung,425,73.7182448037
5484,Lung,314,176.702839991
5503,Lung,66,5.11298353121
5525,Lung,53,1.9641825534400001
5556,Lung,124,12.463768115899999
5593,Lung,1124,96.2814645309
5635,Lung,288,24.1525423729
5654,Lung,482,49.7265625
5772,Lung,402,19.5058517555
5790,Lung,960,44.0721649485
5814,Lung,2202,189.877807133
5819,Lung,1199,97.265625
5837,Lung,809,68.2069601291
5886,Lung,8,0.694766095415
5937,Lung,635,78.4090909091
5942,Lung,437,61.710037174700005
5946,Lung,478,23.2770745429
6052,Lung,1412,81.228668942
6091,Lung,191,11.013532968599998
272,Minor Salivary Gland,3926,442.316258352
311,Minor Salivary Gland,4749,413.25486182199995
390,Minor Salivary Gland,7,2.9484029483999996
400,Minor Salivary Gland,7076,601.374292643
672,Minor Salivary Gland,14,0.544605809129
990,Minor Salivary Gland,6193,476.01590106
1015,Minor Salivary Gland,2783,258.497011102
1356,Minor Salivary Gland,4321,387.22698908
1499,Minor Salivary Gland,2996,284.59970348400003
1867,Minor Salivary Gland,61,3.68968779565
1878,Minor Salivary Gland,1103,101.856946355
2200,Minor Salivary Gland,3875,262.328975372
2482,Minor Salivary Gland,13,0.66889632107
2572,Minor Salivary Gland,2859,233.27112317599997
2619,Minor Salivary Gland,5595,561.4640883980001
2692,Minor Salivary Gland,332,23.896713615
2807,Minor Salivary Gland,3799,204.92681651900003
2893,Minor Salivary Gland,4555,381.353008816
3198,Minor Salivary Gland,4669,382.723577236
3293,Minor Salivary Gland,2396,139.1099758
3350,Minor Salivary Gland,2912,296.48752399200004
3683,Minor Salivary Gland,14,0.8089368258859999
4322,Minor Salivary Gland,760,82.7884615385
4375,Minor Salivary Gland,2683,131.716503081
4481,Minor Salivary Gland,5182,506.720544449
4509,Minor Salivary Gland,4586,419.40974391
4520,Minor Salivary Gland,3668,187.013446568
4615,Minor Salivary Gland,4302,585.4300760680001
4669,Minor Salivary Gland,1950,235.276442308
5322,Minor Salivary Gland,3236,251.62772884
5508,Minor Salivary Gland,10610,1067.81200632
5539,Minor Salivary Gland,5166,360.817465529
5649,Minor Salivary Gland,1167,112.035123967
5712,Minor Salivary Gland,2910,235.396329559
5753,Minor Salivary Gland,7002,418.607021518
5867,Minor Salivary Gland,1754,84.0400190567
5906,Minor Salivary Gland,11450,1262.70588235
5925,Minor Salivary Gland,3864,336.484940907
6060,Minor Salivary Gland,4171,471.480582524
188,Small Intestine - Terminal Ileum,2,0.112107623318
317,Small Intestine - Terminal Ileum,3697,469.02038786699995
395,Small Intestine - Terminal Ileum,2324,202.23325062
401,Small Intestine - Terminal Ileum,1402,61.854360711300004
422,Small Intestine - Terminal Ileum,38,2.32919254658
486,Small Intestine - Terminal Ileum,3761,479.218828242
566,Small Intestine - Terminal Ileum,1814,140.991471215
694,Small Intestine - Terminal Ileum,2432,125.815360337
718,Small Intestine - Terminal Ileum,17,0.9980988593160001
1022,Small Intestine - Terminal Ileum,3402,289.273987596
1329,Small Intestine - Terminal Ileum,1961,149.476987448
1378,Small Intestine - Terminal Ileum,1484,76.4819091609
1471,Small Intestine - Terminal Ileum,610,37.6952447067
1524,Small Intestine - Terminal Ileum,947,102.50379362700001
